"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"47","3","Monarch Phenotype","","Abnormality of lipoprotein cholesterol concentration","0.0305","CETP|PPARG|LPL","453","641|638|659","2.5E-6","","HP:0010979","0.21769251846388454","0"
"252","3","GO Biological Process","","Response to alcohol","0.0321","PPARG|PPARA|ADIPOQ","453","638|662|653","3.3E-4","","GO:0097305","0.21450329639656732","0"
"1252","5","GO Biological Process","","Negative regulation of signal transduction","0.0334","MIF|PPARG|NOS3|PPARA|ADIPOQ","453","668|638|650|662|653","3.5E-4","","GO:0009968","0.2120269944370127","0"
"380","3","WikiPathways","","Fatty Acids and Lipoproteins Transport in Hepatocytes","0.0334","CETP|ADIPOQ|LPL","453","641|653|659","0.0011","","WP5323","0.2120269944370127","0"
"663","4","GO Biological Process","","Response to bacterium","0.0337","MPO|NOS3|ADIPOQ|LPL","453","644|650|653|659","3.5E-4","","GO:0009617","0.21146923600780182","0"
"176","3","TISSUES","","Adipose tissue","0.0349","PPARG|ADIPOQ|LPL","453","638|653|659","1.2E-4","","BTO:0001487","0.20928677774242813","0"
"80","3","Monarch Phenotype","","Pancreatitis","0.0354","MIF|PPARG|LPL","453","668|638|659","1.16E-5","","HP:0001733","0.20839948584313533","0"
"51","2","GO Biological Process","","Regulation of gluconeogenesis","0.0361","PPARA|ADIPOQ","453","662|653","3.8E-4","","GO:0006111","0.20717810701282857","0"
"52","2","GO Biological Process","","Negative regulation of cellular carbohydrate metabolic process","0.0372","PPARA|ADIPOQ","453","662|653","4.0E-4","","GO:0010677","0.2053058484330974","0"
"272","3","GO Biological Process","","Cellular response to chemical stress","0.0376","MPO|PPARG|NOS3","453","644|638|650","4.1E-4","","GO:0062197","0.20463872369188071","0"
"53","2","GO Biological Process","","Response to cold","0.0379","PPARG|LPL","453","638|659","4.1E-4","","GO:0009409","0.20414302119920463","0"
"528","4","TISSUES","","Bone marrow","0.0401","CETP|MPO|PPARG|DPP4","453","641|644|638|665","1.5E-4","","BTO:0000141","0.20062346587316582","0"
"198","3","TISSUES","","Bone marrow cell","0.0401","CETP|MPO|DPP4","453","641|644|665","1.6E-4","","BTO:0004850","0.20062346587316582","0"
"55","2","GO Biological Process","","Long-chain fatty acid transport","0.0405","PPARG|FABP5","453","638|647","4.4E-4","","GO:0015909","0.2000043484457934","0"
"2131","6","GO Biological Process","","Positive regulation of response to stimulus","0.0414","MIF|PPARG|FABP5|NOS3|ADIPOQ|LPL","453","668|638|647|650|653|659","4.6E-4","","GO:0048584","0.19863340163950013","0"
"58","2","GO Biological Process","","Negative regulation of MAP kinase activity","0.0441","PPARG|ADIPOQ","453","638|653","4.9E-4","","GO:0043407","0.19469258172013784","0"
"1363","5","GO Biological Process","","Response to endogenous stimulus","0.0452","PPARG|NOS3|PPARA|ADIPOQ|LPL","453","638|650|662|653|659","5.2E-4","","GO:0009719","0.19315581584752212","0"
"739","4","GO Biological Process","","Regulation of cytokine production","0.0463","MIF|PPARA|ADIPOQ|LPL","453","668|662|653|659","5.3E-4","","GO:0001817","0.19165600314127457","0"
"96","3","Monarch Phenotype","","Hyperlipidemia","0.0481","CETP|PPARG|LPL","453","641|638|659","1.97E-5","","HP:0003077","0.18927698547618574","0"
"63","2","GO Biological Process","","Response to fatty acid","0.049","ADIPOQ|LPL","453","653|659","5.8E-4","","GO:0070542","0.18812065963599167","0"
