"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"924","22","TISSUES","","Leukocyte","1.61E-7","TBX21|OSM|RIPK3|HGF|MPO|CCR7|CCR2|MERTK|CD28|RORC|CD86|NR3C2|GATA3|LY86|LILRB4|CD8A|TNF|HMGA1|DOCK2|CCL5|CCL4|TLR5","55687","17893|17935|18121|18130|17785|17944|18124|18070|18067|17992|18019|18079|17899|17905|18001|17806|18010|17914|17950|17989|18100|17845","3.31E-10","","BTO:0000751","0.679317412396815","0"
"97","9","GO Biological Process","","Alpha-beta T cell activation","1.69E-7","TBX21|RORA|CD28|RORC|CD3E|ADA|GATA3|IRF4|DOCK2","55687","17893|17821|18067|17992|18151|17926|17899|18103|17950","1.7E-9","","GO:0046631","0.6772113295386326","0"
"1499","29","GO Molecular Function","","Signaling receptor binding","1.69E-7","MIF|OSM|AMH|HGF|KLB|WNT5A|PPARGC1A|NRG1|ACE|S100B|CCR2|F2RL1|PCSK9|ANGPT2|CX3CR1|DPP4|TLR9|CD3E|ABCA1|GATA3|NRG4|ADM2|CD8A|TNF|HMGA1|DOCK2|CCL5|CCL4|TLR5","55687","17803|17935|17869|18130|17890|17812|17956|17938|17896|17977|18124|17965|18007|17908|18145|17866|18148|18151|17923|17899|18118|17881|17806|18010|17914|17950|17989|18100|17845","3.42E-11","","GO:0005102","0.6772113295386326","0"
"13099","87","TISSUES","","Whole body","1.77E-7","TBX21|MIF|OSM|USP18|RIPK3|AMH|HGF|MPO|CYP27B1|CCR7|NAPSA|KLB|RORA|NLRC5|WNT5A|DNAJC27|PPARGC1A|ADAM28|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|NCR1|CCR2|CCR5|MERTK|F2RL1|FABP5|NOS3|PCSK9|CD248|SLC19A1|PPARGC1B|ANGPT2|SLC2A4|CD28|RORC|CD86|NLRP3|CCR6|GATA2|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|AIM2|CYP2J2|CARD9|ADA|ABCA1|PRKCZ|GATA3|XDH|LY86|STEAP4|SHBG|IRF4|CCM2|LILRB4|NRG4|ADM2|TRPM2|CD8A|ACE2|SENP1|TNF|HMGA1|TRPV4|TRIB3|MME|DOCK2|AGAP2|LDLR|GIPR|SARM1|CCL5|CCL4|ABO|ACACA|TLR5|SOCS7","55687","17893|17803|17935|17971|18121|17869|18130|17785|17872|17944|18022|17890|17821|18085|17812|17998|17956|18016|17968|18049|18040|17938|17896|17977|17929|18124|18133|18070|17965|18025|18013|18007|18115|17827|17776|17908|17941|18067|17992|18019|17857|18136|17842|18079|18145|17953|17866|18148|18151|17830|17917|17962|17986|18139|17926|17923|17983|17899|17800|17905|17797|17788|18103|18088|18001|18118|17881|17773|17806|17887|18091|18010|17914|17875|18097|18109|17950|18082|17878|17818|18058|17989|18100|18061|17920|17845|17848","5.12E-10","","BTO:0001489","0.6752026733638193","0"
"163","11","UniProt Keywords","","Inflammatory response","1.94E-7","MIF|CCR2|F2RL1|NLRP3|TLR9|AIM2|PRKCZ|LY86|CCL5|CCL4|TLR5","55687","17803|18124|17965|17857|18148|17962|17983|17905|17989|18100|17845","5.77E-10","","KW-0395","0.6712198270069774","0"
"239","12","GO Biological Process","","Second-messenger-mediated signaling","2.18E-7","CCR7|CCR2|CCR5|NOS3|ADORA2B|CCR6|CX3CR1|CD3E|NR5A2|ADA|TRPM2|TNF","55687","17944|18124|18133|18013|17791|18136|18145|18151|17830|17926|17773|18010","2.23E-9","","GO:0019932","0.6661543506395395","0"
"2041","31","GO Biological Process","","Positive regulation of cellular biosynthetic process","2.18E-7","TBX21|OSM|RIPK3|HGF|CCR7|RORA|NLRC5|WNT5A|PPARGC1A|PPARG|F2RL1|NOS3|ADORA2B|PPARGC1B|CD28|RORC|CD86|NLRP3|GATA2|STAT4|TLR9|NR5A2|GATA3|IRF4|SENP1|TNF|HMGA1|AGAP2|LDLR|CCL5|TLR5","55687","17893|17935|18121|18130|17944|17821|18085|17812|17956|18040|17965|18013|17791|17776|18067|17992|18019|17857|17842|17953|18148|17830|17899|18103|18091|18010|17914|18082|17878|17989|17845","2.23E-9","","GO:0031328","0.6661543506395395","0"
"663","18","GO Biological Process","","Response to bacterium","2.31E-7","USP18|MPO|CYP27B1|CCR7|WNT5A|ACE|CCR5|NOS3|CD86|NLRP3|CX3CR1|TLR9|CARD9|ABCA1|LY86|TNF|CCL5|TLR5","55687","17971|17785|17872|17944|17812|17896|18133|18013|18019|17857|18145|18148|18139|17923|17905|18010|17989|17845","2.39E-9","","GO:0009617","0.6636388020107856","0"
"299","13","GO Biological Process","","Regulation of ERK1 and ERK2 cascade","2.33E-7","MIF|CCR7|DNAJC27|NRG1|F2RL1|TLR9|CARD9|PRKCZ|ACE2|TNF|TRPV4|CCL5|CCL4","55687","17803|17944|17998|17938|17965|18148|18139|17983|17887|18010|17875|17989|18100","2.43E-9","","GO:0070372","0.6632644078973982","0"
"433","15","GO Biological Process","","Negative regulation of immune system process","2.47E-7","TBX21|MIF|USP18|NLRC5|PPARG|CCR2|MERTK|CD86|GATA2|CX3CR1|DPP4|ADA|LILRB4|TNF|LDLR","55687","17893|17803|17971|18085|18040|18124|18070|18019|17842|18145|17866|17926|18001|18010|17878","2.59E-9","","GO:0002683","0.6607303046740334","0"
"190","11","GO Biological Process","","Leukocyte activation involved in immune response","2.53E-7","TBX21|RORA|F2RL1|ADORA2B|RORC|CCR6|CX3CR1|ADA|GATA3|IRF4|DOCK2","55687","17893|17821|17965|17791|17992|18136|18145|17926|17899|18103|17950","2.66E-9","","GO:0002366","0.6596879478824182","0"
"589","17","GO Biological Process","","Positive regulation of hydrolase activity","2.74E-7","RIPK3|CCR7|WNT5A|PPARG|F2RL1|PPARGC1B|CD86|NLRP3|AIM2|CARD9|PRKCZ|XDH|SENP1|TNF|AGAP2|CCL5|CCL4","55687","18121|17944|17812|18040|17965|17776|18019|17857|17962|18139|17983|17800|18091|18010|18082|17989|18100","2.9E-9","","GO:0051345","0.6562249437179613","0"
"368","14","GO Biological Process","","Regulation of leukocyte cell-cell adhesion","2.75E-7","TBX21|CCR7|CCR2|CD28|CD86|NLRP3|DPP4|CD3E|ADA|PRKCZ|GATA3|LILRB4|TNF|CCL5","55687","17893|17944|18124|18067|18019|17857|17866|18151|17926|17983|17899|18001|18010|17989","2.93E-9","","GO:1903037","0.6560667306169737","0"
"1251","24","GO Biological Process","","Regulation of phosphorylation","2.89E-7","MIF|OSM|RIPK3|HGF|CCR7|NLRC5|WNT5A|PPARG|NRG1|ACE|MERTK|PPARGC1B|CD86|CX3CR1|TLR9|CD3E|PRKCZ|XDH|LILRB4|TNF|TRIB3|AGAP2|CCL5|SOCS7","55687","17803|17935|18121|18130|17944|18085|17812|18040|17938|17896|18070|17776|18019|18145|18148|18151|17983|17800|18001|18010|18097|18082|17989|17848","3.1E-9","","GO:0042325","0.6539102157243452","0"
"43","7","GO Biological Process","","T cell selection","3.13E-7","TBX21|CCR7|CD28|CD3E|GATA3|IRF4|DOCK2","55687","17893|17944|18067|18151|17899|18103|17950","3.41E-9","","GO:0045058","0.6504455662453552","0"
"71","8","GO Biological Process","","Positive regulation of chemokine production","3.15E-7","MIF|WNT5A|F2RL1|ADORA2B|TLR9|CARD9|TNF|TRPV4","55687","17803|17812|17965|17791|18148|18139|18010|17875","3.47E-9","","GO:0032722","0.6501689446210399","0"
"71","8","GO Biological Process","","Positive regulation of alpha-beta T cell activation","3.15E-7","CCR2|CD28|CD86|NLRP3|CD3E|ADA|PRKCZ|LILRB4","55687","18124|18067|18019|17857|18151|17926|17983|18001","3.47E-9","","GO:0046635","0.6501689446210399","0"
"71","8","GO Biological Process","","Regulation of alpha-beta T cell differentiation","3.15E-7","TBX21|CD86|NLRP3|ADA|PRKCZ|GATA3|IRF4|LILRB4","55687","17893|18019|17857|17926|17983|17899|18103|18001","3.47E-9","","GO:0046637","0.6501689446210399","0"
"279","13","TISSUES","","T-lymphocyte","3.3E-7","TBX21|OSM|CCR7|CD28|RORC|CD86|GATA3|CD8A|TNF|HMGA1|DOCK2|CCL5|CCL4","55687","17893|17935|17944|18067|17992|18019|17899|17806|18010|17914|17950|17989|18100","1.09E-9","","BTO:0000782","0.6481486060122112","0"
"251","12","GO Biological Process","","Positive regulation of T cell activation","3.35E-7","CCR7|CCR2|CD28|CD86|NLRP3|DPP4|CD3E|ADA|PRKCZ|GATA3|LILRB4|CCL5","55687","17944|18124|18067|18019|17857|17866|18151|17926|17983|17899|18001|17989","3.79E-9","","GO:0050870","0.6474955192963154","0"
"778","19","GO Biological Process","","Regulation of kinase activity","3.86E-7","MIF|RIPK3|HGF|CCR7|NLRC5|WNT5A|PPARG|NRG1|ACE|MERTK|CD86|TLR9|PRKCZ|LILRB4|TNF|TRIB3|AGAP2|CCL5|SOCS7","55687","17803|18121|18130|17944|18085|17812|18040|17938|17896|18070|18019|18148|17983|18001|18010|18097|18082|17989|17848","4.38E-9","","GO:0043549","0.6413412695328244","0"
"110","9","GO Biological Process","","Positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","4.17E-7","TBX21|CCR2|CD28|NLRP3|CARD9|ADA|PRKCZ|GATA3|TNF","55687","17893|18124|18067|17857|18139|17926|17983|17899|18010","4.76E-9","","GO:0002824","0.6379863945026243","0"
"784","19","GO Biological Process","","Regulation of cell adhesion","4.31E-7","TBX21|CCR7|WNT5A|PDE3B|NRG1|CCR2|ANGPT2|CD28|CD86|NLRP3|DPP4|CD3E|ADA|PRKCZ|GATA3|LILRB4|TNF|TRPV4|CCL5","55687","17893|17944|17812|18049|17938|18124|17908|18067|18019|17857|17866|18151|17926|17983|17899|18001|18010|17875|17989","4.95E-9","","GO:0030155","0.6365522729839268","0"
"75","8","GO Biological Process","","Positive regulation of mononuclear cell migration","4.48E-7","CCR7|WNT5A|CCR2|CCR6|CX3CR1|TNF|CCL5|CCL4","55687","17944|17812|18124|18136|18145|18010|17989|18100","5.17E-9","","GO:0071677","0.6348721986001856","0"
"611","18","GO Cellular Component","","Side of membrane","4.63E-7","CCR7|ACE|CCR2|CCR5|PCSK9|CD248|SLC2A4|CD28|CD86|CCR6|CX3CR1|CD3E|ADA|ABCA1|LILRB4|CD8A|TNF|LDLR","55687","17944|17896|18124|18133|18007|18115|17941|18067|18019|18136|18145|18151|17926|17923|18001|17806|18010|17878","6.79E-10","","GO:0098552","0.6334419008982046","0"
"157","10","GO Biological Process","","Positive regulation of NF-kappaB transcription factor activity","5.29E-7","RIPK3|AMH|WNT5A|NLRP3|CX3CR1|TLR9|AIM2|CARD9|PRKCZ|TNF","55687","18121|17869|17812|17857|18145|18148|17962|18139|17983|18010","6.17E-9","","GO:0051092","0.6276544327964814","0"
"77","8","GO Biological Process","","Regulation of CD4-positive, alpha-beta T cell activation","5.34E-7","TBX21|CD28|CD86|NLRP3|CD3E|PRKCZ|GATA3|IRF4","55687","17893|18067|18019|17857|18151|17983|17899|18103","6.26E-9","","GO:2000514","0.6272458742971444","0"
"208","11","GO Biological Process","","Regulation of lymphocyte differentiation","5.53E-7","TBX21|CCR2|CD28|CD86|NLRP3|TLR9|ADA|PRKCZ|GATA3|IRF4|LILRB4","55687","17893|18124|18067|18019|17857|18148|17926|17983|17899|18103|18001","6.52E-9","","GO:0045619","0.6257274868695302","0"
"989","21","GO Biological Process","","Defense response to other organism","5.57E-7","MIF|RIPK3|MPO|CYP27B1|NLRC5|WNT5A|PPARG|F2RL1|NLRP3|CX3CR1|TLR9|AIM2|CARD9|GATA3|LY86|IRF4|TNF|SARM1|CCL5|CCL4|TLR5","55687","17803|18121|17785|17872|18085|17812|18040|17965|17857|18145|18148|17962|18139|17899|17905|18103|18010|18058|17989|18100|17845","6.61E-9","","GO:0098542","0.625414480482627","0"
"1763","28","GO Biological Process","","Regulation of transport","5.65E-7","MIF|OSM|WNT5A|DNAJC27|PPARG|NRG1|ACE|CCR2|MERTK|F2RL1|FABP5|NOS3|PCSK9|ADORA2B|GATA2|TLR9|SGK1|ADA|ABCA1|PRKCZ|TRPM2|ACE2|TNF|TRIB3|DOCK2|GIPR|CCL5|CCL4","55687","17803|17935|17812|17998|18040|17938|17896|18124|18070|17965|18025|18013|18007|17791|17842|18148|17917|17926|17923|17983|17773|17887|18010|18097|17950|17818|17989|18100","6.73E-9","","GO:0051049","0.6247951552180562","0"
"711","18","GO Biological Process","","Cellular response to cytokine stimulus","5.77E-7","OSM|CCR7|RORA|WNT5A|CCR2|CCR5|SLC2A4|CCR6|CX3CR1|STAT4|NR5A2|AIM2|GATA3|LILRB4|TNF|MME|CCL5|CCL4","55687","17935|17944|17821|17812|18124|18133|17941|18136|18145|17953|17830|17962|17899|18001|18010|18109|17989|18100","6.91E-9","","GO:0071345","0.6238824186844268","0"
"804","19","GO Biological Process","","Response to cytokine","6.1E-7","OSM|CYP27B1|CCR7|RORA|WNT5A|CCR2|CCR5|SLC2A4|CCR6|CX3CR1|STAT4|NR5A2|AIM2|GATA3|LILRB4|TNF|MME|CCL5|CCL4","55687","17935|17872|17944|17821|17812|18124|18133|17941|18136|18145|17953|17830|17962|17899|18001|18010|18109|17989|18100","7.37E-9","","GO:0034097","0.6214670164989233","0"
"116","9","GO Biological Process","","Mononuclear cell migration","6.1E-7","TBX21|CCR7|CCR2|CCR5|CCR6|GATA3|TRPM2|CCL5|CCL4","55687","17893|17944|18124|18133|18136|17899|17773|17989|18100","7.36E-9","","GO:0071674","0.6214670164989233","0"
"213","11","GO Biological Process","","Positive regulation of ERK1 and ERK2 cascade","6.74E-7","MIF|CCR7|DNAJC27|NRG1|F2RL1|CARD9|PRKCZ|TNF|TRPV4|CCL5|CCL4","55687","17803|17944|17998|17938|17965|18139|17983|18010|17875|17989|18100","8.25E-9","","GO:0070374","0.617134010346468","0"
"81","8","GO Biological Process","","Positive regulation of cytokine production involved in immune response","7.35E-7","TBX21|MIF|WNT5A|F2RL1|NLRP3|CARD9|PRKCZ|GATA3","55687","17893|17803|17812|17965|17857|18139|17983|17899","9.05E-9","","GO:0002720","0.6133712660915804","0"
"1332","24","GO Biological Process","","Positive regulation of developmental process","8.35E-7","TBX21|HGF|CYP27B1|WNT5A|PPARGC1A|PPARG|NRG1|ACE|NOS3|PPARGC1B|ANGPT2|CD28|CD86|NLRP3|GATA2|CX3CR1|ADA|PRKCZ|GATA3|LILRB4|ADM2|TNF|MME|AGAP2","55687","17893|18130|17872|17812|17956|18040|17938|17896|18013|17776|17908|18067|18019|17857|17842|18145|17926|17983|17899|18001|17881|18010|18109|18082","1.03E-8","","GO:0051094","0.6078313524516398","0"
"826","19","GO Biological Process","","Positive regulation of phosphorylation","9.0E-7","MIF|OSM|RIPK3|HGF|CCR7|WNT5A|PPARG|NRG1|ACE|MERTK|PPARGC1B|CD86|CX3CR1|TLR9|CD3E|PRKCZ|TNF|AGAP2|CCL5","55687","17803|17935|18121|18130|17944|17812|18040|17938|17896|18070|17776|18019|18145|18148|18151|17983|18010|18082|17989","1.13E-8","","GO:0042327","0.6045757490560675","0"
"52","7","GO Biological Process","","Negative regulation of fat cell differentiation","9.0E-7","RORA|WNT5A|GATA2|GATA3|TNF|TRPV4|TRIB3","55687","17821|17812|17842|17899|18010|17875|18097","1.12E-8","","GO:0045599","0.6045757490560675","0"
"485","15","GO Biological Process","","Positive regulation of cell adhesion","9.0E-7","CCR7|WNT5A|NRG1|CCR2|CD28|CD86|NLRP3|DPP4|CD3E|ADA|PRKCZ|GATA3|LILRB4|TNF|CCL5","55687","17944|17812|17938|18124|18067|18019|17857|17866|18151|17926|17983|17899|18001|18010|17989","1.13E-8","","GO:0045785","0.6045757490560675","0"
"169","10","GO Biological Process","","Calcium-mediated signaling","9.48E-7","CCR7|CCR2|CCR5|CCR6|CX3CR1|CD3E|NR5A2|ADA|TRPM2|TNF","55687","17944|18124|18133|18136|18145|18151|17830|17926|17773|18010","1.2E-8","","GO:0019722","0.6023191662661934","0"
"346","13","GO Biological Process","","Regulation of lipid metabolic process","1.02E-6","CYP27B1|CCR7|RORA|PPARGC1A|PDE3B|PPARG|FABP5|RORC|FITM2|TNF|TRIB3|AGAP2|LDLR","55687","17872|17944|17821|17956|18049|18040|18025|17992|18076|18010|18097|18082|17878","1.3E-8","","GO:0019216","0.5991399828238082","0"
"288","12","GO Biological Process","","Regulation of angiogenesis","1.29E-6","HGF|WNT5A|PDE3B|PPARG|CCR2|NOS3|ANGPT2|GATA2|CX3CR1|CCM2|ADM2|TNF","55687","18130|17812|18049|18040|18124|18013|17908|17842|18145|18088|17881|18010","1.65E-8","","GO:0045765","0.5889410289700752","0"
"754","18","GO Biological Process","","Innate immune response","1.3E-6","MIF|CYP27B1|NLRC5|WNT5A|PPARG|F2RL1|NLRP3|CX3CR1|TLR9|AIM2|CARD9|GATA3|LY86|TNF|SARM1|CCL5|CCL4|TLR5","55687","17803|17872|18085|17812|18040|17965|17857|18145|18148|17962|18139|17899|17905|18010|18058|17989|18100|17845","1.67E-8","","GO:0045087","0.5886056647693163","0"
"945","20","GO Biological Process","","Positive regulation of cell population proliferation","1.32E-6","MIF|OSM|KLB|WNT5A|NRG1|S100B|CCR2|CD248|CD28|CD86|GATA2|CX3CR1|DPP4|TLR9|CD3E|ADA|PRKCZ|TNF|AGAP2|CCL5","55687","17803|17935|17890|17812|17938|17977|18124|18115|18067|18019|17842|18145|17866|18148|18151|17926|17983|18010|18082|17989","1.71E-8","","GO:0008284","0.587942606879415","0"
"176","10","GO Biological Process","","Regulation of lymphocyte mediated immunity","1.33E-6","TBX21|RIPK3|NCR1|CCR2|CD28|NLRP3|PRKCZ|GATA3|LILRB4|TNF","55687","17893|18121|17929|18124|18067|17857|17983|17899|18001|18010","1.73E-8","","GO:0002706","0.5876148359032914","0"
"43","7","WikiPathways","","Inflammatory bowel disease signaling","1.33E-6","TBX21|RORA|RORC|STAT4|GATA3|TNF|TLR5","55687","17893|17821|17992|17953|17899|18010|17845","3.41E-9","","WP5198","0.5876148359032914","0"
"178","10","GO Biological Process","","Regulation of T cell differentiation","1.46E-6","TBX21|CCR2|CD28|CD86|NLRP3|ADA|PRKCZ|GATA3|IRF4|LILRB4","55687","17893|18124|18067|18019|17857|17926|17983|17899|18103|18001","1.92E-8","","GO:0045580","0.5835647144215563","0"
"359","13","GO Biological Process","","Adaptive immune response","1.5E-6","TBX21|RORA|RORC|CD86|CCR6|CX3CR1|CD3E|CARD9|ADA|GATA3|IRF4|LILRB4|CD8A","55687","17893|17821|17992|18019|18136|18145|18151|18139|17926|17899|18103|18001|17806","1.98E-8","","GO:0002250","0.5823908740944319","0"
"516","15","GO Biological Process","","Chemotaxis","1.9E-6","MIF|HGF|CCR7|WNT5A|NRG1|CCR2|CCR5|CCR6|CX3CR1|DPP4|GATA3|TRPM2|DOCK2|CCL5|CCL4","55687","17803|18130|17944|17812|17938|18124|18133|18136|18145|17866|17899|17773|17950|17989|18100","2.51E-8","","GO:0006935","0.5721246399047171","0"
"135","9","GO Biological Process","","Regulation of fat cell differentiation","1.91E-6","RORA|WNT5A|PPARG|RORC|GATA2|GATA3|TNF|TRPV4|TRIB3","55687","17821|17812|18040|17992|17842|17899|18010|17875|18097","2.54E-8","","GO:0045598","0.5718966632752273","0"
"33","6","GO Biological Process","","Regulation of type 2 immune response","1.97E-6","TBX21|CCR2|CD86|NLRP3|PRKCZ|GATA3","55687","17893|18124|18019|17857|17983|17899","2.63E-8","","GO:0002828","0.5705533773838407","0"
"60","7","GO Biological Process","","Regulation of interleukin-10 production","2.06E-6","HGF|F2RL1|CD28|TLR9|PRKCZ|IRF4|LILRB4","55687","18130|17965|18067|18148|17983|18103|18001","2.78E-8","","GO:0032653","0.5686132779630847","0"
"95","8","GO Biological Process","","Regulation of interleukin-1 beta production","2.13E-6","CCR7|WNT5A|F2RL1|NLRP3|CX3CR1|AIM2|LILRB4|TNF","55687","17944|17812|17965|17857|18145|17962|18001|18010","2.89E-8","","GO:0032651","0.5671620396561262","0"
"95","8","GO Biological Process","","Regulation of leukocyte apoptotic process","2.13E-6","MIF|RIPK3|CCR7|WNT5A|MERTK|RORC|ADA|CCL5","55687","17803|18121|17944|17812|18070|17992|17926|17989","2.89E-8","","GO:2000106","0.5671620396561262","0"
"529","15","GO Biological Process","","Positive regulation of cell migration","2.52E-6","HGF|CCR7|WNT5A|CCR2|F2RL1|NOS3|CCR6|GATA2|CX3CR1|GATA3|TNF|TRPV4|CCL5|CCL4|DAPK2","55687","18130|17944|17812|18124|17965|18013|18136|17842|18145|17899|18010|17875|17989|18100|17836","3.46E-8","","GO:0030335","0.5598599459218456","0"
"891","19","GO Biological Process","","Negative regulation of apoptotic process","2.68E-6","MIF|HGF|MPO|CCR7|WNT5A|PPARGC1A|NRG1|MERTK|NOS3|CD28|RORC|GATA2|CX3CR1|ADA|PRKCZ|GATA3|TNF|AGAP2|CCL5","55687","17803|18130|17785|17944|17812|17956|17938|18070|18013|18067|17992|17842|18145|17926|17983|17899|18010|18082|17989","3.69E-8","","GO:0043066","0.5571865205971211","0"
"6784","58","GO Biological Process","","Regulation of metabolic process","2.89E-6","TBX21|MIF|OSM|RIPK3|AMH|HGF|CYP27B1|CCR7|RORA|NLRC5|WNT5A|PPARGC1A|SFRP5|PDE3B|PPARG|NRG1|ACE|CCR2|MERTK|F2RL1|FABP5|NOS3|PCSK9|ADORA2B|PPARGC1B|CD28|RORC|CD86|NLRP3|GATA2|NR3C2|CX3CR1|STAT4|TLR9|CD3E|NR5A2|SGK1|AIM2|CARD9|PRKCZ|GATA3|XDH|IRF4|LILRB4|ADM2|FITM2|ACE2|SENP1|TNF|HMGA1|TRPV4|TRIB3|AGAP2|LDLR|CCL5|DAPK2|TLR5|SOCS7","55687","17893|17803|17935|18121|17869|18130|17872|17944|17821|18085|17812|17956|17968|18049|18040|17938|17896|18124|18070|17965|18025|18013|18007|17791|17776|18067|17992|18019|17857|17842|18079|18145|17953|18148|18151|17830|17917|17962|18139|17983|17899|17800|18103|18001|17881|18076|17887|18091|18010|17914|17875|18097|18082|17878|17989|17836|17845|17848","4.0E-8","","GO:0019222","0.5539102157243452","0"
"64","7","GO Biological Process","","CD4-positive, alpha-beta T cell activation","3.01E-6","TBX21|RORA|CD28|RORC|CD3E|GATA3|IRF4","55687","17893|17821|18067|17992|18151|17899|18103","4.19E-8","","GO:0035710","0.5521433504406157","0"
"899","19","GO Biological Process","","Negative regulation of gene expression","3.02E-6","TBX21|MIF|HGF|CCR7|PPARG|ACE|MERTK|F2RL1|CD28|NLRP3|GATA2|CX3CR1|TLR9|CD3E|GATA3|XDH|LILRB4|TNF|LDLR","55687","17893|17803|18130|17944|18040|17896|18070|17965|18067|17857|17842|18145|18148|18151|17899|17800|18001|18010|17878","4.23E-8","","GO:0010629","0.5519993057042849","0"
"904","19","GO Biological Process","","Chemical homeostasis","3.27E-6","CYP27B1|NAPSA|RORA|WNT5A|PPARGC1A|PPARG|ACE|CCR2|FABP5|PCSK9|SLC2A4|NR5A2|ABCA1|STEAP4|FITM2|TRPV4|LDLR|CCL5|ACACA","55687","17872|18022|17821|17812|17956|18040|17896|18124|18025|18007|17941|17830|17923|17797|18076|17875|17878|17989|17920","4.61E-8","","GO:0048878","0.5485452247339714","0"
"3535","41","COMPARTMENTS","","Plasma membrane","3.3E-6","CCR7|KLB|ADAM28|NRG1|ACE|NCR1|CCR2|CCR5|MERTK|F2RL1|FABP5|NOS3|PCSK9|ADORA2B|SLC19A1|SLC2A4|CD28|CD86|CCR6|CX3CR1|DPP4|TLR9|CD3E|SGK1|ADA|ABCA1|PRKCZ|XDH|STEAP4|LILRB4|TRPM2|CD8A|ACE2|TNF|TRPV4|MME|DOCK2|LDLR|GIPR|TLR5|SOCS7","55687","17944|17890|18016|17938|17896|17929|18124|18133|18070|17965|18025|18013|18007|17791|17827|17941|18067|18019|18136|18145|17866|18148|18151|17917|17926|17923|17983|17800|17797|18001|17773|17806|17887|18010|17875|18109|17950|17878|17818|17845|17848","5.73E-9","","GOCC:0005886","0.5481486060122113","0"
"3860","43","COMPARTMENTS","","Cell periphery","3.3E-6","CCR7|KLB|WNT5A|ADAM28|NRG1|ACE|NCR1|CCR2|CCR5|MERTK|F2RL1|FABP5|NOS3|PCSK9|ADORA2B|CD248|SLC19A1|SLC2A4|CD28|CD86|CCR6|CX3CR1|DPP4|TLR9|CD3E|SGK1|ADA|ABCA1|PRKCZ|XDH|STEAP4|LILRB4|TRPM2|CD8A|ACE2|TNF|TRPV4|MME|DOCK2|LDLR|GIPR|TLR5|SOCS7","55687","17944|17890|17812|18016|17938|17896|17929|18124|18133|18070|17965|18025|18013|18007|17791|18115|17827|17941|18067|18019|18136|18145|17866|18148|18151|17917|17926|17923|17983|17800|17797|18001|17773|17806|17887|18010|17875|18109|17950|17878|17818|17845|17848","6.43E-9","","GOCC:0071944","0.5481486060122113","0"
"915","19","GO Biological Process","","Positive regulation of transport","3.89E-6","MIF|WNT5A|PPARG|CCR2|MERTK|F2RL1|PCSK9|ADORA2B|GATA2|SGK1|ABCA1|PRKCZ|TRPM2|ACE2|TNF|DOCK2|GIPR|CCL5|CCL4","55687","17803|17812|18040|18124|18070|17965|18007|17791|17842|17917|17923|17983|17773|17887|18010|17950|17818|17989|18100","5.56E-8","","GO:0051050","0.5410050398674292","0"
"38","6","GO Biological Process","","Regulation of T cell cytokine production","3.9E-6","TBX21|CCR2|NLRP3|PRKCZ|GATA3|LILRB4","55687","17893|18124|17857|17983|17899|18001","5.59E-8","","GO:0002724","0.5408935392973501","0"
"1018","20","GO Biological Process","","Positive regulation of protein modification process","3.96E-6","MIF|OSM|RIPK3|HGF|CCR7|WNT5A|PPARGC1A|PPARG|NRG1|ACE|CD86|CX3CR1|TLR9|CD3E|PRKCZ|GATA3|TNF|TRIB3|AGAP2|CCL5","55687","17803|17935|18121|18130|17944|17812|17956|18040|17938|17896|18019|18145|18148|18151|17983|17899|18010|18097|18082|17989","5.7E-8","","GO:0031401","0.5402304814074488","0"
"170","11","STRING Clusters","","Mixed, incl. Chemokine-mediated signaling pathway, and Adaptive immunity","4.01E-6","CCR7|CCR2|CCR5|CD28|CD86|CCR6|CX3CR1|CD3E|CD8A|CCL5|CCL4","55687","17944|18124|18133|18067|18019|18136|18145|18151|17806|17989|18100","8.77E-10","","CL:15536","0.5396855627379817","0"
"151","9","GO Biological Process","","Regulation of interleukin-6 production","4.38E-6","HGF|WNT5A|F2RL1|ADORA2B|TLR9|CARD9|LILRB4|TNF|TRPV4","55687","18130|17812|17965|17791|18148|18139|18001|18010|17875","6.34E-8","","GO:0032675","0.53585258894959","0"
"1600","26","TISSUES","","Lymphoid tissue","4.7E-6","TBX21|OSM|RIPK3|CCR7|NLRC5|ADAM28|NCR1|CCR2|NOS3|CD28|RORC|CD86|TLR9|CD3E|AIM2|ADA|GATA3|LY86|IRF4|CCM2|CD8A|TNF|HMGA1|DOCK2|CCL5|CCL4","55687","17893|17935|18121|17944|18085|18016|17929|18124|18013|18067|17992|18019|18148|18151|17962|17926|17899|17905|18103|18088|17806|18010|17914|17950|17989|18100","1.74E-8","","BTO:0000753","0.5327902142064282","0"
"40","6","GO Biological Process","","Positive regulation of interleukin-10 production","5.04E-6","HGF|F2RL1|CD28|TLR9|PRKCZ|IRF4","55687","18130|17965|18067|18148|17983|18103","7.36E-8","","GO:0032733","0.5297569463554475","0"
