"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"130","10","WikiPathways","","Adipogenesis","2.38E-6","MIF|OSM|RORA|PPARGC1A|PPARG|GATA2|TNF|HMGA1|TRIB3|SOCS1","40149","17803|17935|17821|17956|18040|17842|18010|17914|18097|17932","3.04E-9","","WP236","0.5623423042943487","0"
"86","8","GO Biological Process","","Regulation of T cell mediated immunity","2.45E-6","CEACAM1|TBX21|RIPK3|CCR2|NLRP3|ARG1|PRKCZ|LILRB4","40149","18037|17893|18121|18124|17857|18034|17983|18001","3.13E-8","","GO:0002709","0.5610833915635467","0"
"125","9","GO Biological Process","","Regulation of mononuclear cell migration","2.6E-6","RIPK3|CCR7|WNT5A|CCR2|CX3CR1|TNF|TRPV4|CCL5|CCL4","40149","18121|17944|17812|18124|18145|18010|17875|17989|18100","3.33E-8","","GO:0071675","0.5585026652029181","0"
"279","12","GO Biological Process","","Lymphocyte differentiation","2.92E-6","TBX21|RIPK3|CCR7|RORA|MERTK|CD28|RORC|CD3E|ADA|IRF4|CD8A|DOCK2","40149","17893|18121|17944|17821|18070|18067|17992|18151|17926|18103|17806|17950","3.76E-8","","GO:0030098","0.5534617148551582","0"
"1935","30","GO Biological Process","","Positive regulation of macromolecule biosynthetic process","3.0E-6","TBX21|OSM|RIPK3|HGF|GCK|CCR7|RORA|NLRC5|WNT5A|PPARGC1A|PPARG|F2RL1|PPARGC1B|MET|CD28|RORC|CD86|NLRP3|GATA2|STAT4|TLR9|NR5A2|IRF4|POMC|SENP1|TNF|HMGA1|NR4A1|AGAP2|CCL5","40149","17893|17935|18121|18130|18112|17944|17821|18085|17812|17956|18040|17965|17776|17860|18067|17992|18019|17857|17842|17953|18148|17830|18103|17851|18091|18010|17914|17884|18082|17989","3.88E-8","","GO:0010557","0.5522878745280337","0"
"481","15","GO Biological Process","","Positive regulation of MAPK cascade","3.23E-6","MIF|OSM|HGF|CCR7|WNT5A|DNAJC27|NRG1|F2RL1|TLR9|CARD9|PRKCZ|TNF|TRPV4|CCL5|CCL4","40149","17803|17935|18130|17944|17812|17998|17938|17965|18148|18139|17983|18010|17875|17989|18100","4.2E-8","","GO:0043410","0.5490797477668897","0"
"989","21","GO Biological Process","","Defense response to other organism","3.4E-6","MIF|RIPK3|MPO|NLRC5|WNT5A|PPARG|F2RL1|NLRP3|ARG1|CX3CR1|TLR9|CARD9|LCN2|LY86|IRF4|POMC|TNF|SARM1|CCL5|CCL4|TLR5","40149","17803|18121|17785|18085|17812|18040|17965|17857|18034|18145|18148|18139|17779|17905|18103|17851|18010|18058|17989|18100|17845","4.44E-8","","GO:0098542","0.5468521082957745","0"
"176","10","GO Biological Process","","Regulation of lymphocyte mediated immunity","3.54E-6","CEACAM1|TBX21|RIPK3|CCR2|CD28|NLRP3|ARG1|PRKCZ|LILRB4|TNF","40149","18037|17893|18121|18124|18067|17857|18034|17983|18001|18010","4.65E-8","","GO:0002706","0.5450996737974212","0"
"899","20","GO Biological Process","","Negative regulation of gene expression","3.54E-6","CEACAM1|TBX21|MIF|HGF|CCR7|PPARG|ACE|MERTK|F2RL1|CD28|NLRP3|GATA2|ARG1|CX3CR1|TLR9|CD3E|LILRB4|POMC|TNF|LDLR","40149","18037|17893|17803|18130|17944|18040|17896|18070|17965|18067|17857|17842|18034|18145|18148|18151|18001|17851|18010|17878","4.67E-8","","GO:0010629","0.5450996737974212","0"
"485","15","GO Biological Process","","Positive regulation of cell adhesion","3.54E-6","CCR7|WNT5A|NRG1|CCR2|CD28|CD86|NLRP3|DPP4|CD3E|ADA|PRKCZ|LILRB4|TNF|CCL5|SOCS1","40149","17944|17812|17938|18124|18067|18019|17857|17866|18151|17926|17983|18001|18010|17989|17932","4.66E-8","","GO:0045785","0.5450996737974212","0"
"33","6","GO Biological Process","","Regulation of type 2 immune response","3.64E-6","TBX21|CCR2|CD86|NLRP3|ARG1|PRKCZ","40149","17893|18124|18019|17857|18034|17983","4.85E-8","","GO:0002828","0.5438898616350943","0"
"178","10","GO Biological Process","","Regulation of T cell differentiation","3.84E-6","TBX21|CCR2|CD28|CD86|NLRP3|ADA|PRKCZ|IRF4|LILRB4|SOCS1","40149","17893|18124|18067|18019|17857|17926|17983|18103|18001|17932","5.14E-8","","GO:0045580","0.541566877563247","0"
"288","12","GO Biological Process","","Regulation of angiogenesis","3.91E-6","CEACAM1|HGF|WNT5A|PDE3B|PPARG|CCR2|NOS3|ANGPT2|GATA2|CX3CR1|ADM2|TNF","40149","18037|18130|17812|18049|18040|18124|18013|17908|17842|18145|17881|18010","5.25E-8","","GO:0045765","0.5407823242604133","0"
"1512","26","GO Biological Process","","Positive regulation of protein metabolic process","4.07E-6","MIF|OSM|RIPK3|HGF|CCR7|WNT5A|PPARGC1A|PPARG|NRG1|ACE|CD28|CD86|NLRP3|CX3CR1|TLR9|CD3E|CARD9|PRKCZ|SENP1|TNF|AGTR1|TRIB3|AGAP2|LDLR|CCL5|ANGPTL8","40149","17803|17935|18121|18130|17944|17812|17956|18040|17938|17896|18067|18019|17857|18145|18148|18151|18139|17983|18091|18010|17911|18097|18082|17878|17989|17902","5.5E-8","","GO:0051247","0.5390405590774779","0"
"232","11","GO Biological Process","","Negative regulation of defense response","4.12E-6","CEACAM1|USP18|HGF|RORA|NLRC5|PPARG|NLRP3|ARG1|ADA|CYP19A1|LDLR","40149","18037|17971|18130|17821|18085|18040|17857|18034|17926|18064|17878","5.6E-8","","GO:0031348","0.5385102783966865","0"
"60","7","GO Biological Process","","Regulation of interleukin-10 production","4.14E-6","HGF|F2RL1|CD28|TLR9|PRKCZ|IRF4|LILRB4","40149","18130|17965|18067|18148|17983|18103|18001","5.64E-8","","GO:0032653","0.5382999658879102","0"
"911","20","GO Biological Process","","Negative regulation of programmed cell death","4.19E-6","MIF|HGF|MPO|CCR7|WNT5A|PPARGC1A|NRG1|MERTK|NOS3|MET|CD28|RORC|GATA2|CX3CR1|ADA|PRKCZ|TNF|NR4A1|AGAP2|CCL5","40149","17803|18130|17785|17944|17812|17956|17938|18070|18013|17860|18067|17992|17842|18145|17926|17983|18010|17884|18082|17989","5.77E-8","","GO:0043069","0.5377785977033704","0"
"45","7","Reactome Pathways","","Interleukin-10 signaling","4.22E-6","IL1RN|CCR2|CCR5|CD86|TNF|CCL5|CCL4","40149","17794|18124|18133|18019|18010|17989|18100","9.25E-9","","HSA-6783783","0.5374687549038326","0"
"107","9","Reactome Pathways","","Interleukin-4 and Interleukin-13 signaling","4.22E-6","OSM|HGF|RORA|RORC|LCN2|IRF4|POMC|TNF|SOCS1","40149","17935|18130|17821|17992|17779|18103|17851|18010|17932","9.39E-9","","HSA-6785807","0.5374687549038326","0"
"355","13","GO Biological Process","","Response to peptide hormone","4.37E-6","CEACAM1|GCK|PDE3B|PPARG|ARG1|STAT4|PRKCZ|POMC|AGTR1|TRPV4|TRIB3|NR4A1|ENPP1","40149","18037|18112|18049|18040|18034|17953|17983|17851|17911|17875|18097|17884|18004","6.05E-8","","GO:0043434","0.5359518563029578","0"
"135","9","GO Biological Process","","Regulation of fat cell differentiation","4.45E-6","RORA|WNT5A|PPARG|RORC|GATA2|TNF|TRPV4|TRIB3|ENPP1","40149","17821|17812|18040|17992|17842|18010|17875|18097|18004","6.21E-8","","GO:0045598","0.5351639989019068","0"
"61","7","GO Biological Process","","Regulation of myeloid leukocyte mediated immunity","4.47E-6","CCR2|F2RL1|ADORA2B|GATA2|ARG1|CX3CR1|POMC","40149","18124|17965|17791|17842|18034|18145|17851","6.26E-8","","GO:0002886","0.5349692476868063","0"
"7242","68","GO Molecular Function","","Protein binding","4.51E-6","CEACAM1|MIF|OSM|RIPK3|AMH|HGF|CCR7|IL1RN|RORA|WNT5A|PPARGC1A|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|CCR2|CCR5|F2RL1|NOS3|CD248|PPARGC1B|ANGPT2|MET|CD28|NLRP3|GATA2|ARG1|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|CARD9|LCN2|ABCA1|PRKCZ|LILRB4|NRG4|ADM2|POMC|CD8A|NPPC|ACE2|TNF|AGTR1|HMGA1|TRPV4|TRIB3|MME|DOCK2|CYP2E1|NR4A1|AGAP2|LDLR|SARM1|CCL5|KCP|ANGPTL8|CCL4|ACACA|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","40149","18037|17803|17935|18121|17869|18130|17944|17794|17821|17812|17956|17968|18049|18040|17938|17896|17977|18124|18133|17965|18013|18115|17776|17908|17860|18067|17857|17842|18034|18145|17953|17866|18148|18151|17830|18139|17779|17923|17983|18001|18118|17881|17851|17806|18031|17887|18010|17911|17914|17875|18097|18109|17950|17782|17884|18082|17878|18058|17989|18043|17902|18100|17920|17836|17845|17932|18004|17848","1.83E-9","","GO:0005515","0.5345823458122039","0"
"1108","22","GO Biological Process","","Regulation of protein phosphorylation","4.54E-6","CEACAM1|MIF|OSM|RIPK3|HGF|CCR7|WNT5A|PPARG|NRG1|ACE|CD86|CX3CR1|TLR9|CD3E|PRKCZ|LILRB4|TNF|TRIB3|AGAP2|CCL5|SOCS1|ENPP1","40149","18037|17803|17935|18121|18130|17944|17812|18040|17938|17896|18019|18145|18148|18151|17983|18001|18010|18097|18082|17989|17932|18004","6.4E-8","","GO:0001932","0.5342944147142896","0"
"95","8","GO Biological Process","","Regulation of leukocyte apoptotic process","4.54E-6","MIF|RIPK3|CCR7|WNT5A|MERTK|RORC|ADA|CCL5","40149","17803|18121|17944|17812|18070|17992|17926|17989","6.43E-8","","GO:2000106","0.5342944147142896","0"
"163","10","UniProt Keywords","","Inflammatory response","5.24E-6","MIF|CCR2|F2RL1|NLRP3|TLR9|PRKCZ|LY86|CCL5|CCL4|TLR5","40149","17803|18124|17965|17857|18148|17983|17905|17989|18100|17845","2.34E-8","","KW-0395","0.5280668713016273","0"
"97","8","GO Biological Process","","Alpha-beta T cell activation","5.26E-6","TBX21|RORA|CD28|RORC|CD3E|ADA|IRF4|DOCK2","40149","17893|17821|18067|17992|18151|17926|18103|17950","7.48E-8","","GO:0046631","0.527901425584626","0"
"239","11","GO Biological Process","","Regulation of hormone secretion","5.26E-6","OSM|GCK|PPARG|RBP4|CYP19A1|TRPM2|POMC|TNF|AGTR1|GIPR|CCL5","40149","17935|18112|18040|17980|18064|17773|17851|18010|17911|17818|17989","7.48E-8","","GO:0046883","0.527901425584626","0"
"187","10","GO Biological Process","","Positive regulation of response to biotic stimulus","5.57E-6","MIF|NLRC5|WNT5A|F2RL1|ARG1|TLR9|CARD9|LY86|POMC|CCL5","40149","17803|18085|17812|17965|18034|18148|18139|17905|17851|17989","7.99E-8","","GO:0002833","0.5254144804826271","0"
"14826","98","GO Biological Process","","Cellular process","5.62E-6","CEACAM1|TBX21|MIF|OSM|USP18|RIPK3|AQP9|AMH|HGF|GCK|MPO|CCR7|GGT1|IL1RN|RORA|NLRC5|WNT5A|DNAJC27|PPARGC1A|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|CCR2|CCR5|MERTK|F2RL1|NOS3|ADORA2B|CD248|SLC19A1|PPARGC1B|ANGPT2|MET|CD28|RORC|CD86|NLRP3|GATA2|ARG1|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|RBP4|CARD9|ADA|LCN2|ABCA1|PRKCZ|LY86|STEAP4|IRF4|SIRT3|LILRB4|NRG4|ADM2|CYP19A1|FITM2|TRPM2|POMC|CD8A|NPPC|DHRS9|ACE2|SENP1|TNF|AGTR1|HMGA1|TRPV4|TRIB3|MME|DOCK2|CYP2E1|NR4A1|AGAP2|GPR84|LDLR|GIPR|SARM1|CCL5|DUSP14|KCP|ANGPTL8|CCL4|ABO|ACACA|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","40149","18037|17893|17803|17935|17971|18121|18055|17869|18130|18112|17785|17944|18106|17794|17821|18085|17812|17998|17956|17968|18049|18040|17938|17896|17977|18124|18133|18070|17965|18013|17791|18115|17827|17776|17908|17860|18067|17992|18019|17857|17842|18034|18079|18145|17953|17866|18148|18151|17830|17917|17980|18139|17926|17779|17923|17983|17905|17797|18103|17959|18001|18118|17881|18064|18076|17773|17851|17806|18031|18142|17887|18091|18010|17911|17914|17875|18097|18109|17950|17782|17884|18082|18046|17878|17818|18058|17989|17995|18043|17902|18100|18061|17920|17836|17845|17932|18004|17848","8.1E-8","","GO:0009987","0.5250263684430939","0"
"242","11","GO Biological Process","","Regulation of lymphocyte proliferation","5.83E-6","MIF|RIPK3|CCR2|CD28|CD86|ARG1|TLR9|CD3E|ADA|LILRB4|CCL5","40149","17803|18121|18124|18067|18019|18034|18148|18151|17926|18001|17989","8.44E-8","","GO:0050670","0.5234331445240985","0"
"586","16","GO Biological Process","","Positive regulation of transferase activity","5.83E-6","MIF|RIPK3|CCR7|WNT5A|NRG1|ACE|MERTK|MET|CD86|TLR9|PRKCZ|TNF|AGTR1|TRIB3|AGAP2|CCL5","40149","17803|18121|17944|17812|17938|17896|18070|17860|18019|18148|17983|18010|17911|18097|18082|17989","8.46E-8","","GO:0051347","0.5234331445240985","0"
"589","16","GO Biological Process","","Positive regulation of hydrolase activity","6.2E-6","RIPK3|CCR7|WNT5A|PPARG|F2RL1|PPARGC1B|CD86|NLRP3|CARD9|PRKCZ|SENP1|TNF|AGTR1|AGAP2|CCL5|CCL4","40149","18121|17944|17812|18040|17965|17776|18019|17857|18139|17983|18091|18010|17911|18082|17989|18100","9.06E-8","","GO:0051345","0.5207608310501747","0"
"191","10","GO Biological Process","","Regulation of blood pressure","6.58E-6","PPARG|ACE|F2RL1|NOS3|SGK1|ADM2|POMC|ACE2|TNF|AGTR1","40149","18040|17896|17965|18013|17917|17881|17851|17887|18010|17911","9.65E-8","","GO:0008217","0.5181774106386045","0"
"38","6","GO Biological Process","","Regulation of T cell cytokine production","6.95E-6","TBX21|CCR2|NLRP3|ARG1|PRKCZ|LILRB4","40149","17893|18124|17857|18034|17983|18001","1.03E-7","","GO:0002724","0.5158015195409886","0"
"1041","22","Reactome Pathways","","Innate Immune System","7.07E-6","CEACAM1|MIF|USP18|RIPK3|MPO|NLRC5|S100B|CCR2|NOS3|NLRP3|ARG1|TLR9|CARD9|LCN2|LY86|TRPM2|MME|DOCK2|GPR84|SARM1|TLR5|SOCS1","40149","18037|17803|17971|18121|17785|18085|17977|18124|18013|17857|18034|18148|18139|17779|17905|17773|18109|17950|18046|18058|17845|17932","2.17E-8","","HSA-168249","0.5150580586203101","0"
"18","5","GO Biological Process","","Dendritic cell chemotaxis","7.26E-6","CCR7|CCR2|CCR5|TRPM2|CCL5","40149","17944|18124|18133|17773|17989","1.08E-7","","GO:0002407","0.5139063379299906","0"
"249","11","GO Biological Process","","Leukocyte migration","7.45E-6","TBX21|CCR7|CCR2|CCR5|F2RL1|CX3CR1|ADA|TRPM2|TNF|CCL5|CCL4","40149","17893|17944|18124|18133|17965|18145|17926|17773|18010|17989|18100","1.11E-7","","GO:0050900","0.5127843727251707","0"
"375","13","GO Biological Process","","Immune effector process","7.46E-6","TBX21|MPO|RORA|ACE|F2RL1|ADORA2B|RORC|CX3CR1|CARD9|ADA|IRF4|CD8A|DOCK2","40149","17893|17785|17821|17896|17965|17791|17992|18145|18139|17926|18103|17806|17950","1.12E-7","","GO:0002252","0.5127261172527331","0"
"4386","48","UniProt Keywords","","Glycoprotein","7.94E-6","CEACAM1|OSM|AMH|HGF|MPO|CCR7|GGT1|NAPSA|IL1RN|WNT5A|ADAM28|PPARG|NRG1|ACE|CCR2|CCR5|MERTK|F2RL1|ADORA2B|CD248|SLC19A1|ANGPT2|MET|CD28|CD86|DPP4|TLR9|LCN2|ABCA1|LY86|STEAP4|SHBG|NRG4|TMEM26|POMC|CD8A|ACE2|TNF|AGTR1|MME|GPR84|LDLR|GIPR|CCL5|KCP|ABO|TLR5|ENPP1","40149","18037|17935|17869|18130|17785|17944|18106|18022|17794|17812|18016|18040|17938|17896|18124|18133|18070|17965|17791|18115|17827|17908|17860|18067|18019|17866|18148|17779|17923|17905|17797|17788|18118|17809|17851|17806|17887|18010|17911|18109|18046|17878|17818|17989|18043|18061|17845|18004","4.73E-8","","KW-0325","0.5100179497572903","0"
"28","6","TISSUES","","Helper T-lymphocyte","8.26E-6","TBX21|CCR7|CD28|RORC|CD8A|CCL5","40149","17893|17944|18067|17992|17806|17989","2.04E-8","","BTO:0002417","0.5083019952679618","0"
"1664","28","TISSUES","","Immune system","8.26E-6","TBX21|OSM|RIPK3|CCR7|NLRC5|ADAM28|PPARG|CCR2|CCR5|NOS3|CD28|RORC|CD86|ARG1|CX3CR1|TLR9|CD3E|ADA|LY86|IRF4|CD8A|TNF|AGTR1|HMGA1|DOCK2|CCL5|CCL4|TLR5","40149","17893|17935|18121|17944|18085|18016|18040|18124|18133|18013|18067|17992|18019|18034|18145|18148|18151|17926|17905|18103|17806|18010|17911|17914|17950|17989|18100|17845","2.31E-8","","BTO:0005810","0.5083019952679618","0"
"40","6","GO Biological Process","","Positive regulation of interleukin-10 production","8.99E-6","HGF|F2RL1|CD28|TLR9|PRKCZ|IRF4","40149","18130|17965|18067|18148|17983|18103","1.35E-7","","GO:0032733","0.5046240308266772","0"
"552","17","GO Molecular Function","","Signaling receptor regulator activity","9.37E-6","MIF|OSM|AMH|HGF|IL1RN|WNT5A|NRG1|DPP4|LILRB4|NRG4|ADM2|POMC|NPPC|TNF|CCL5|ANGPTL8|CCL4","40149","17803|17935|17869|18130|17794|17812|17938|17866|18001|18118|17881|17851|18031|18010|17989|17902|18100","5.7E-9","","GO:0030545","0.5028260409112222","0"
"4175","48","GO Cellular Component","","Extracellular region","9.49E-6","CEACAM1|MIF|OSM|AMH|HGF|MPO|GGT1|NAPSA|IL1RN|WNT5A|ADAM28|SFRP5|NRG1|ACE|S100B|MERTK|CD248|ANGPT2|MET|CD86|NLRP3|ARG1|DPP4|TLR9|RBP4|LCN2|PRKCZ|LY86|STEAP4|SHBG|LILRB4|NRG4|ADM2|POMC|CD8A|NPPC|ACE2|TNF|MME|DOCK2|AGAP2|LDLR|CCL5|KCP|ANGPTL8|CCL4|ABO|ENPP1","40149","18037|17803|17935|17869|18130|17785|18106|18022|17794|17812|18016|17968|17938|17896|17977|18070|18115|17908|17860|18019|17857|18034|17866|18148|17980|17779|17983|17905|17797|17788|18001|18118|17881|17851|17806|18031|17887|18010|18109|17950|18082|17878|17989|18043|17902|18100|18061|18004","9.27E-9","","GO:0005576","0.5022733787572707","0"
"1427","25","UniProt Keywords","","Receptor","9.98E-6","CCR7|RORA|PPARG|CCR2|CCR5|MERTK|F2RL1|ADORA2B|MET|RORC|CD86|NR3C2|CX3CR1|DPP4|TLR9|CD3E|NR5A2|LILRB4|ACE2|AGTR1|NR4A1|GPR84|LDLR|GIPR|TLR5","40149","17944|17821|18040|18124|18133|18070|17965|17791|17860|17992|18019|18079|18145|17866|18148|18151|17830|18001|17887|17911|17884|18046|17878|17818|17845","7.43E-8","","KW-0675","0.5000869458712629","0"
"151","9","GO Biological Process","","Regulation of interleukin-6 production","1.02E-5","HGF|WNT5A|F2RL1|ADORA2B|TLR9|CARD9|LILRB4|TNF|TRPV4","40149","18130|17812|17965|17791|18148|18139|18001|18010|17875","1.54E-7","","GO:0032675","0.4991399828238082","0"
"41","6","GO Biological Process","","Positive regulation of CD4-positive, alpha-beta T cell activation","1.02E-5","CD28|CD86|NLRP3|CD3E|PRKCZ|SOCS1","40149","18067|18019|17857|18151|17983|17932","1.54E-7","","GO:2000516","0.4991399828238082","0"
"152","9","GO Biological Process","","Regulation of cytokine-mediated signaling pathway","1.05E-5","USP18|IL1RN|NLRC5|WNT5A|PPARG|F2RL1|ARG1|CCL5|SOCS1","40149","17971|17794|18085|17812|18040|17965|18034|17989|17932","1.62E-7","","GO:0001959","0.4978810700930062","0"
"1710","27","GO Biological Process","","Positive regulation of transcription, DNA-templated","1.05E-5","TBX21|OSM|RIPK3|HGF|RORA|NLRC5|WNT5A|PPARGC1A|PPARG|F2RL1|PPARGC1B|MET|CD28|RORC|CD86|NLRP3|GATA2|STAT4|TLR9|NR5A2|IRF4|POMC|SENP1|TNF|HMGA1|NR4A1|AGAP2","40149","17893|17935|18121|18130|17821|18085|17812|17956|18040|17965|17776|17860|18067|17992|18019|17857|17842|17953|18148|17830|18103|17851|18091|18010|17914|17884|18082","1.59E-7","","GO:0045893","0.4978810700930062","0"
"259","11","GO Biological Process","","Regulation of peptidyl-tyrosine phosphorylation","1.05E-5","MIF|OSM|HGF|NRG1|ACE|CD3E|PRKCZ|LILRB4|TNF|CCL5|SOCS1","40149","17803|17935|18130|17938|17896|18151|17983|18001|18010|17989|17932","1.63E-7","","GO:0050730","0.4978810700930062","0"
"109","8","GO Biological Process","","Regulation of phosphatidylinositol 3-kinase signaling","1.12E-5","CEACAM1|OSM|HGF|F2RL1|CD28|TNF|AGAP2|CCL5","40149","18037|17935|18130|17965|18067|18010|18082|17989","1.74E-7","","GO:0014066","0.4950781977329818","0"
"279","12","TISSUES","","T-lymphocyte","1.14E-5","TBX21|OSM|CCR7|CD28|RORC|CD86|CD8A|TNF|HMGA1|DOCK2|CCL5|CCL4","40149","17893|17935|17944|18067|17992|18019|17806|18010|17914|17950|17989|18100","3.76E-8","","BTO:0000782","0.4943095148663527","0"
"110","8","GO Biological Process","","Positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","1.19E-5","TBX21|CCR2|CD28|NLRP3|CARD9|ADA|PRKCZ|TNF","40149","17893|18124|18067|17857|18139|17926|17983|18010","1.86E-7","","GO:0002824","0.4924453038607469","0"
"499","16","GO Molecular Function","","Receptor ligand activity","1.2E-5","MIF|OSM|AMH|HGF|IL1RN|WNT5A|NRG1|DPP4|NRG4|ADM2|POMC|NPPC|TNF|CCL5|ANGPTL8|CCL4","40149","17803|17935|17869|18130|17794|17812|17938|17866|18118|17881|17851|18031|18010|17989|17902|18100","9.71E-9","","GO:0048018","0.4920818753952375","0"
"170","11","STRING Clusters","","Mixed, incl. Chemokine-mediated signaling pathway, and Adaptive immunity","1.21E-5","CEACAM1|CCR7|CCR2|CCR5|CD28|CD86|CX3CR1|CD3E|CD8A|CCL5|CCL4","40149","18037|17944|18124|18133|18067|18019|18145|18151|17806|17989|18100","2.64E-9","","CL:15536","0.491721462968355","0"
"3980","44","GO Biological Process","","Regulation of macromolecule biosynthetic process","1.26E-5","TBX21|OSM|RIPK3|AMH|HGF|GCK|CCR7|RORA|NLRC5|WNT5A|PPARGC1A|SFRP5|PPARG|NRG1|F2RL1|PPARGC1B|MET|CD28|RORC|CD86|NLRP3|GATA2|NR3C2|CX3CR1|STAT4|TLR9|NR5A2|SGK1|CARD9|PRKCZ|IRF4|SIRT3|LILRB4|POMC|NPPC|SENP1|TNF|HMGA1|TRPV4|TRIB3|NR4A1|AGAP2|CCL5|ENPP1","40149","17893|17935|18121|17869|18130|18112|17944|17821|18085|17812|17956|17968|18040|17938|17965|17776|17860|18067|17992|18019|17857|17842|18079|18145|17953|18148|17830|17917|18139|17983|18103|17959|18001|17851|18031|18091|18010|17914|17875|18097|17884|18082|17989|18004","1.97E-7","","GO:0010556","0.48996294548824376","0"
"43","6","GO Biological Process","","T cell selection","1.27E-5","TBX21|CCR7|CD28|CD3E|IRF4|DOCK2","40149","17893|17944|18067|18151|18103|17950","1.99E-7","","GO:0045058","0.4896196279044043","0"
"891","19","GO Biological Process","","Negative regulation of apoptotic process","1.28E-5","MIF|HGF|MPO|CCR7|WNT5A|PPARGC1A|NRG1|MERTK|NOS3|CD28|RORC|GATA2|CX3CR1|ADA|PRKCZ|TNF|NR4A1|AGAP2|CCL5","40149","17803|18130|17785|17944|17812|17956|17938|18070|18013|18067|17992|17842|18145|17926|17983|18010|17884|18082|17989","2.02E-7","","GO:0043066","0.4892790030352131","0"
"711","17","GO Biological Process","","Cellular response to cytokine stimulus","1.28E-5","CEACAM1|OSM|CCR7|RORA|WNT5A|CCR2|CCR5|ARG1|CX3CR1|STAT4|NR5A2|LILRB4|TNF|MME|CCL5|CCL4|SOCS1","40149","18037|17935|17944|17821|17812|18124|18133|18034|18145|17953|17830|18001|18010|18109|17989|18100|17932","2.03E-7","","GO:0071345","0.4892790030352131","0"
"317","13","DISEASES","","Autoimmune disease","1.29E-5","MIF|MPO|IL1RN|CCR5|NOS3|CD28|NLRP3|STAT4|CARD9|CD8A|ACE2|TNF|TLR5","40149","17803|17785|17794|18133|18013|18067|17857|17953|18139|17806|17887|18010|17845","1.68E-8","","DOID:417","0.48894102897007513","0"
"157","9","GO Biological Process","","Positive regulation of NF-kappaB transcription factor activity","1.32E-5","RIPK3|AMH|WNT5A|NLRP3|CX3CR1|TLR9|CARD9|PRKCZ|TNF","40149","18121|17869|17812|17857|18145|18148|18139|17983|18010","2.1E-7","","GO:0051092","0.48794260687941504","0"
"113","8","GO Biological Process","","Regulation of interleukin-1 production","1.4E-5","CEACAM1|CCR7|WNT5A|F2RL1|NLRP3|CX3CR1|LILRB4|TNF","40149","18037|17944|17812|17965|17857|18145|18001|18010","2.25E-7","","GO:0032652","0.4853871964321762","0"
"210","10","GO Biological Process","","Cell chemotaxis","1.4E-5","HGF|CCR7|CCR2|CCR5|CX3CR1|TRPM2|AGTR1|NR4A1|CCL5|CCL4","40149","18130|17944|18124|18133|18145|17773|17911|17884|17989|18100","2.24E-7","","GO:0060326","0.4853871964321762","0"
"5899","56","GO Biological Process","","Regulation of primary metabolic process","1.42E-5","CEACAM1|TBX21|MIF|OSM|RIPK3|AMH|HGF|GCK|CCR7|RORA|NLRC5|WNT5A|PPARGC1A|SFRP5|PDE3B|PPARG|NRG1|ACE|F2RL1|NOS3|ADORA2B|PPARGC1B|MET|CD28|RORC|CD86|NLRP3|GATA2|NR3C2|CX3CR1|STAT4|TLR9|CD3E|NR5A2|SGK1|CARD9|PRKCZ|IRF4|SIRT3|LILRB4|FITM2|POMC|NPPC|SENP1|TNF|AGTR1|HMGA1|TRPV4|TRIB3|NR4A1|AGAP2|LDLR|CCL5|ANGPTL8|SOCS1|ENPP1","40149","18037|17893|17803|17935|18121|17869|18130|18112|17944|17821|18085|17812|17956|17968|18049|18040|17938|17896|17965|18013|17791|17776|17860|18067|17992|18019|17857|17842|18079|18145|17953|18148|18151|17830|17917|18139|17983|18103|17959|18001|18076|17851|18031|18091|18010|17911|17914|17875|18097|17884|18082|17878|17989|17902|17932|18004","2.29E-7","","GO:0080090","0.4847711655616943","0"
"75","7","GO Biological Process","","Negative regulation of cytokine-mediated signaling pathway","1.43E-5","USP18|IL1RN|NLRC5|PPARG|F2RL1|ARG1|CCL5","40149","17971|17794|18085|18040|17965|18034|17989","2.31E-7","","GO:0001960","0.48446639625349386","0"
